Product, Subtitle, Price, Image Link
Signature M650,Upgrade your setup for all-day comfort and productivity.,Rs. 2995.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m650/product-gallery/m650-medium-rose-top.png?v=1"
Logitech MOUSE PAD - Studio Series,Soft mouse pad for comfortable and effortless gliding.,Rs. 795.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/mouse-pad-studio-series/gallery/logitech-mouse-pad-studio-series-corner-view-graphite.png?v=1"
POP Mouse,Wireless Mouse with Customizable Emoji,Rs. 2995.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/pop-wireless-mouse/gallery/pop-mouse-gallery-daydream-1.png?v=1"
M331 SILENT PLUS,Extra comfort and precision with SilentTouch,Rs. 1645.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m330-wireless-silent-mouse/gallery/m330-black-gallery-1.png?v=1"
M235 WIRELESS MOUSE,Compact with comfortable rubber sides,Rs. 995.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m317-wireless-mouse/gallery/m317-colt-glossy-gallery-1.png?v=1"
M337,Bluetooth® mouse,Rs. 2795.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m535/gallery/m535-gallery-blue-01-new.png?v=1"
M100r Corded Mouse,Comfortable. Durable. Essential,Rs. 495.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m100r/gallery/m100r-midnight-black-gallery-1.png?v=1"
LOGI BOLT USB RECEIVER,USB receiver to be used with your Logi Bolt wireless mouse and keyboard.,Rs. 1299.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/logi-bolt-usb-receiver/gallery/logi-bolt-usb-receiver-gallery-01.png?v=1"
B100 Optical USB Mouse,Comfortable. Durable. Essential,Rs. 345.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/b100/gallery/b100-black-gallery-1.png?v=1"
M170 Wireless Mouse,Plug & Play Simplicity,Rs. 845.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m171/gallery/m171-gallery-blue-1.png?v=1"
M221 SILENT,Silent| comfortable| and easy-to-use wireless mouse,Rs. 1295.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m220/gallery/m220-blue-gallery-1.png?v=1"
Wireless Ultra Portable M187,Pocket-ready| extra-small design,Rs. 1295.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m187/gallery/m187-gallery-black-1-new.png?v=1"
M590 Multi-Device Silent,Silent wireless mouse for power users,Rs. 2995.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m590/gallery/m590-gallery-grey-1.png?v=1"
M585 Multi-Device,Compact mouse with extra controls,Rs. 2645.0,"https://resource.logitech.com/w_419,ar_1.0,c_limit,f_auto,q_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/mice/m585/gallery/m585-gallery-graphite-1.png?v=1"
